split_mode,feature_type,n_train,n_val,n_test,seed,n_pos_req,n_neg_req,pos_metric,neg_metric,overall_metric,best_epoch
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,4,50,6950,0.5564769179456763,0.6766282216094092,0.673620261722607,6
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,0,100,6900,0.6716754506859515,0.6798308225874703,0.6796266550110117,8
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,1,100,6900,0.6307158942023913,0.6868484694838355,0.6854432027240352,7
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,2,100,6900,0.6126750003960397,0.6786985181396749,0.6770456344104094,8
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,3,100,6900,0.5560229255093468,0.6795442537416222,0.6764519274918368,11
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,4,100,6900,0.5529657780296273,0.6773868315878421,0.6742719815181302,8
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,0,120,6880,0.6761560222754875,0.6794136543479216,0.6793321020666754,8
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,1,120,6880,0.62632191595104,0.6828394211747666,0.6814245183541542,6
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,2,120,6880,0.6173885203897953,0.6745521085623774,0.6731210326308305,5
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,3,120,6880,0.6060005447102917,0.6828458527748748,0.6809220489513476,10
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,4,120,6880,0.5696089358793365,0.6670905106246589,0.664650080793554,8
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,0,170,6830,0.7158122888455788,0.6776007485387318,0.6785573667525385,9
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,1,170,6830,0.6820818347235521,0.6851803817933747,0.6851028099459219,8
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,2,170,6830,0.6480605767832862,0.6787099221867184,0.6779426230446443,8
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,3,170,6830,0.5997719007233778,0.6834151564436977,0.6813211672899205,10
domain,ecfp+rdkit2d+rdkit3d+bert+flag,,,,4,170,6830,0.6430472839209769,0.6764141528471274,0.6755788205890957,8
domain,ecfp,,,,0,0,7000,0.39896187745034695,0.6352899205015996,0.6293735024820423,15
domain,ecfp,,,,1,0,7000,0.3721603553017808,0.6412472207030778,0.6345106935823499,25
domain,ecfp,,,,2,0,7000,0.37871813649932545,0.6282349159365145,0.62198832066003,3
domain,ecfp,,,,3,0,7000,0.33468598479198086,0.6418556651454579,0.6341657422671434,23
domain,ecfp,,,,4,0,7000,0.4082547897059057,0.621863428848037,0.6165157865573586,3
domain,ecfp,,,,0,1,6999,0.3747974907358487,0.6377263938856661,0.631144029018372,4
domain,ecfp,,,,1,1,6999,0.34429113794532085,0.6372080131200741,0.6298749079258779,3
domain,ecfp,,,,2,1,6999,0.31218085024091935,0.6261894824401809,0.6183283476266487,4
domain,ecfp,,,,3,1,6999,0.35721662506047225,0.6428870767562221,0.6357353844385858,19
domain,ecfp,,,,4,1,6999,0.39499355521466994,0.633899197766568,0.6279182505819128,23
domain,ecfp,,,,0,2,6998,0.36541273708765704,0.6295763493732107,0.6229630742709105,3
domain,ecfp,,,,1,2,6998,0.4055488295853138,0.6363325115863218,0.6305548948266897,4
domain,ecfp,,,,2,2,6998,0.3880208262966739,0.6309109111050789,0.6248302140871583,2
domain,ecfp,,,,3,2,6998,0.3260833378881216,0.6298733434047664,0.6222680320288735,2
domain,ecfp,,,,4,2,6998,0.3924073051247332,0.6309935593042262,0.6250206070715077,23
domain,ecfp,,,,0,5,6995,0.3817670670234495,0.6305341428981432,0.624306317384812,3
domain,ecfp,,,,1,5,6995,0.39583503506663775,0.6371402832620994,0.6310992611744421,3
domain,ecfp,,,,2,5,6995,0.39897115663107896,0.629079686587719,0.6233189713727341,4
domain,ecfp,,,,3,5,6995,0.33316193769375485,0.6460300724733661,0.6381974905877728,22
domain,ecfp,,,,4,5,6995,0.3818877778119511,0.6287784047116567,0.6225975561752314,33
domain,ecfp,,,,0,10,6990,0.39174041400353116,0.6300075576806238,0.624042595670703,26
domain,ecfp,,,,1,10,6990,0.3943213750090864,0.6365287484761896,0.6304651411549449,33
domain,ecfp,,,,2,10,6990,0.3339029736816883,0.6305582767801516,0.6231315792777856,3
domain,ecfp,,,,3,10,6990,0.36513794120401144,0.6397615714296273,0.6328864333236666,39
domain,ecfp,,,,4,10,6990,0.3446552853824364,0.621561607120083,0.6146293213812476,2
domain,ecfp,,,,0,20,6980,0.4132444912360774,0.6309256276787364,0.6254760290496699,3
domain,ecfp,,,,1,20,6980,0.4845629897382524,0.6419705620916366,0.6380298997829921,29
domain,ecfp,,,,2,20,6980,0.4310572466088666,0.6391788160132136,0.6339685396752444,24
domain,ecfp,,,,3,20,6980,0.4725618267224895,0.6483420480737534,0.6439414316152322,23
domain,ecfp,,,,4,20,6980,0.4288805594874753,0.6287354452139599,0.6237321237117694,24
domain,ecfp,,,,0,50,6950,0.583976978643073,0.6329511870887826,0.6317251274752093,31
domain,ecfp,,,,1,50,6950,0.5004062871966097,0.639086512731157,0.6356146831579651,27
domain,ecfp,,,,2,50,6950,0.5407109177774854,0.6282287159238473,0.6260377288276592,3
domain,ecfp,,,,3,50,6950,0.5075400219195418,0.6328879754845277,0.6297499178828214,26
domain,ecfp,,,,4,50,6950,0.49933942448761726,0.6286965727572928,0.62545814600926,24
domain,ecfp,,,,0,100,6900,0.6160852789051003,0.634261564608031,0.6338065250521534,3
domain,ecfp,,,,1,100,6900,0.5676199959384071,0.6390389889779603,0.6372510290815416,24
domain,ecfp,,,,2,100,6900,0.5907301621304618,0.6440398135207881,0.6427052174558829,24
domain,ecfp,,,,3,100,6900,0.5444256986180941,0.6228253098623894,0.6208625950009248,2
domain,ecfp,,,,4,100,6900,0.5331835299730301,0.6314881872684667,0.6290271541094653,26
domain,ecfp,,,,0,120,6880,0.5838838542501131,0.6254582682145512,0.6244174628741962,28
domain,ecfp,,,,1,120,6880,0.5667765931122832,0.6315446480040501,0.6299231951021342,2
domain,ecfp,,,,2,120,6880,0.5365588528414568,0.6188305978612179,0.6167709444998662,2
domain,ecfp,,,,3,120,6880,0.5461704039739238,0.6422446840591273,0.6398394863244675,18
domain,ecfp,,,,4,120,6880,0.514010625373986,0.6327986019442972,0.6298247713049011,15
domain,ecfp,,,,0,170,6830,0.6821603176908361,0.631254683433535,0.6325290958699543,32
domain,ecfp,,,,1,170,6830,0.6032105709115664,0.6375530943083185,0.6366933376938934,34
domain,ecfp,,,,2,170,6830,0.5707465596497059,0.62311673381322,0.6218056586170789,3
domain,ecfp,,,,3,170,6830,0.5723035229990879,0.6377689256279672,0.6361300151527021,33
domain,ecfp,,,,4,170,6830,0.5791414305567741,0.6138456454483949,0.6129768331699016,3
